New Log File @Dyl!
Dyl/Move Forward 01-17-24 21:30:38
Dyl/Move Forward 01-17-24 21:30:39
Dyl/Move Backward 01-17-24 21:30:40
Dyl/Move Backward 01-17-24 21:30:40
Dyl/Move Backward 01-17-24 21:30:40
Dyl/Move Backward 01-17-24 21:30:41
Dyl/Move Backward 01-17-24 21:30:41
Dyl/Move Backward 01-17-24 21:30:41
Dyl/Move Backward 01-17-24 21:30:41
Dyl/Move Backward 01-17-24 21:30:41
Dyl/Move Backward 01-17-24 21:30:41
Dyl/Move Backward 01-17-24 21:30:41
Dyl/Move Backward 01-17-24 21:30:42
Dyl/Move Backward 01-17-24 21:30:42
Dyl/Move Backward 01-17-24 21:30:42
Dyl/Move Backward 01-17-24 21:30:42
Dyl/Move Backward 01-17-24 21:30:42
Dyl/Move Backward 01-17-24 21:30:42
Dyl/Move Backward 01-17-24 21:30:42
Dyl/Move Backward 01-17-24 21:30:43
Dyl/Move Backward 01-17-24 21:30:43
Dyl/Move Backward 01-17-24 21:30:43
Dyl/Move Backward 01-17-24 21:30:43
Dyl/Move Backward 01-17-24 21:30:43
Dyl/Move Backward 01-17-24 21:30:43
Dyl/Move Backward 01-17-24 21:30:44
Dyl/Move Backward 01-17-24 21:30:44
Dyl/Move Backward 01-17-24 21:30:44
Dyl/Move Backward 01-17-24 21:30:44
Dyl/Move Backward 01-17-24 21:30:44
Dyl/Move Backward 01-17-24 21:30:44
Dyl/Move Backward 01-17-24 21:30:44
Dyl/Move Backward 01-17-24 21:30:45
Dyl/Move Backward 01-17-24 21:30:45
Dyl/Move Backward 01-17-24 21:30:45
Dyl/Move Backward 01-17-24 21:30:45
Dyl/Move Backward 01-17-24 21:30:45
Dyl/Move Backward 01-17-24 21:30:45
